Packet No.,Sending Delay (ms)
518.0,0.0
519.0,0.3583984375
520.0,0.7255859375
521.0,1.05859375
522.0,1.51025390625
523.0,1.8779296875
524.0,0.0
525.0,0.0
526.0,0.0
527.0,0.0
528.0,0.40869140625
529.0,0.70458984375
530.0,1.02099609375
531.0,1.52294921875
532.0,1.82958984375
533.0,0.0
534.0,0.0
535.0,0.0
536.0,0.0
537.0,0.0
538.0,0.0
539.0,0.1259765625
540.0,0.29296875
541.0,0.4697265625
542.0,0.0
543.0,0.0
544.0,0.0
545.0,0.0
546.0,0.1416015625
547.0,0.552734375
548.0,0.8857421875
549.0,1.2109375
550.0,1.591796875
551.0,0.0
552.0,0.0
553.0,0.0
554.0,0.0
555.0,0.0
556.0,0.0
557.0,0.13427734375
558.0,0.29833984375
559.0,0.47119140625
560.0,0.0
561.0,0.0
562.0,0.0
563.0,0.0
564.0,0.0
565.0,0.0
566.0,0.0
567.0,0.0
568.0,0.0
569.0,0.0
570.0,0.0
571.0,0.0
572.0,0.0
573.0,0.0
574.0,0.0
575.0,0.0
576.0,0.0
577.0,0.0
578.0,0.0
579.0,0.0
580.0,0.0
581.0,0.0
582.0,0.0
583.0,0.0
584.0,0.271484375
585.0,0.4638671875
586.0,0.85302734375
587.0,1.02685546875
588.0,1.28662109375
589.0,1.51904296875
590.0,1.6318359375
591.0,1.7587890625
592.0,1.87109375
593.0,2.31298828125
594.0,2.43408203125
595.0,2.56494140625
596.0,2.6787109375
597.0,2.92236328125
598.0,3.03173828125
599.0,0.0
600.0,0.0
601.0,0.0
602.0,0.52880859375
603.0,0.82958984375
604.0,1.1357421875
605.0,1.8388671875
606.0,2.1474609375
607.0,2.48876953125
608.0,0.0
609.0,0.0
610.0,0.0
611.0,0.0
612.0,0.0
613.0,0.0
614.0,0.1845703125
615.0,0.359375
616.0,0.53466796875
617.0,0.0
618.0,0.0
619.0,0.0
620.0,0.0
621.0,0.0
622.0,0.0
623.0,0.162109375
624.0,0.333984375
625.0,0.505859375
626.0,0.0
627.0,0.0
628.0,0.0
629.0,0.0
630.0,0.21533203125
631.0,0.521484375
632.0,0.923828125
633.0,1.2265625
634.0,1.53369140625
635.0,0.0
636.0,0.0
637.0,0.0
638.0,0.0
639.0,0.29833984375
640.0,0.7607421875
641.0,1.158203125
642.0,1.662109375
643.0,2.0341796875
644.0,0.0
645.0,0.0
646.0,0.0
647.0,0.39111328125
648.0,0.75
649.0,1.0869140625
650.0,1.6083984375
651.0,1.97265625
652.0,2.3173828125
653.0,0.0
654.0,0.0
655.0,0.0
656.0,0.0
657.0,0.3349609375
658.0,0.8125
659.0,1.14111328125
660.0,1.46484375
661.0,1.9638671875
662.0,0.0
663.0,0.0
664.0,0.0
665.0,0.0693359375
666.0,0.392578125
667.0,0.94189453125
668.0,1.31982421875
669.0,1.86767578125
670.0,2.2470703125
671.0,0.0
672.0,0.0
673.0,0.0
674.0,0.0
675.0,0.30224609375
676.0,0.77099609375
